CIK,Ticker,Series ID,Class ID
0000002110,ACFFX,S000009188,C000024973
0000002110,ACINX,S000009185,C000024961
0000002110,ACRNX,S000009184,C000024957
0000002110,AUSAX,S000009186,C000024965
0000002110,CACRX,S000009185,C000097732
0000002110,CAEAX,S000033621,C000103324
0000002110,CAECX,S000033621,C000103325
0000002110,CAEEX,S000033621,C000122752
0000002110,CAEYX,S000033621,C000171393
0000002110,CAEZX,S000033621,C000103327
0000002110,CAIRX,S000009185,C000097733
0000002110,CCIRX,S000009185,C000122738
0000002110,CCYIX,S000009185,C000122739
0000002110,CEARX,S000009184,C000122735
0000002110,CILRX,S000009188,C000122748
0000002110,CLOFX,S000033621,C000144049
0000002110,COTZX,S000009189,C000024977
0000002110,CQTRX,S000009189,C000122750
0000002110,CRBRX,S000009184,C000122736
0000002110,CRBYX,S000009184,C000122737
0000002110,CRIRX,S000009188,C000122746
0000002110,CSIRX,S000009188,C000122747
0000002110,CTFAX,S000009189,C000024974
0000002110,CTFDX,S000009189,C000024976
0000002110,CTORX,S000009189,C000122749
0000002110,CUSAX,S000009186,C000122740
0000002110,CUSYX,S000009186,C000122742
0000002110,CYSRX,S000009186,C000122741
0000002110,CYYYX,S000009189,C000122751
0000002110,LACAX,S000009184,C000024954
0000002110,LAFAX,S000009188,C000024970
0000002110,LAIAX,S000009185,C000024958
0000002110,LAICX,S000009185,C000024960
0000002110,LAUAX,S000009186,C000024962
0000002110,LAUCX,S000009186,C000024964
0000002110,LFFCX,S000009188,C000024972
0000002110,LIACX,S000009184,C000024956
0000002646,IIBPX,S000008760,C000023849
0000002646,IIBTX,S000008760,C000074893
0000002646,IPIIX,S000008760,C000028784
0000002646,IPISX,S000008760,C000028785
0000002663,IMSXX,S000008702,C000028786
0000002663,IVMXX,S000008702,C000023718
0000002663,VMAXX,S000008702,C000076529
0000002663,VMTXX,S000008702,C000074895
0000002664,IAVGX,S000008703,C000028787
0000002664,IGISX,S000008703,C000074892
0000002664,IIVGX,S000008703,C000028788
0000002664,ISVGX,S000008703,C000028789
0000002691,LAAFX,S000006806,C000054699
0000002691,LAFCX,S000006806,C000018430
0000002691,LAFFX,S000006806,C000018428
0000002691,LAFPX,S000006806,C000018431
0000002691,LAFQX,S000006806,C000054700
0000002691,LAFRX,S000006806,C000054701
0000002691,LAFSX,S000006806,C000155435
0000002691,LAFTX,S000006806,C000155436
0000002691,LAFVX,S000006806,C000155437
0000002691,LAFYX,S000006806,C000018432
0000002691,LTFOX,S000006806,C000184551
0000002768,FCHIX,S000006840,C000018492
0000002768,FHAIX,S000006840,C000018490
0000002768,FHIRX,S000006840,C000018494
0000002768,FHQRX,S000006840,C000199701
0000002768,FHRRX,S000006840,C000128780
0000002768,FVHIX,S000006840,C000018493
0000003521,ACAAX,S000009163,C000024912
0000003521,ACAZX,S000009163,C000095959
0000003521,AFGPX,S000009159,C000024901
0000003521,AFOIX,S000063650,C000206144
0000003521,AFOZX,S000063650,C000206145
0000003521,AGIZX,S000009161,C000111113
0000003521,AGOZX,S000020958,C000095961
0000003521,AGSCX,S000009160,C000024905
0000003521,AHSAX,S000009164,C000024915
0000003521,AHSCX,S000009164,C000024917
0000003521,AHSZX,S000009164,C000156505
0000003521,AIGIX,S000009159,C000039971
0000003521,ALBAX,S000009161,C000024906
0000003521,ALBCX,S000009161,C000024908
0000003521,ALCCX,S000009163,C000024914
0000003521,ALCZX,S000009159,C000095957
0000003521,ALEAX,S000074572,C000232570
0000003521,ALECX,S000074572,C000232572
0000003521,ALEIX,S000074572,C000232568
0000003521,ALEYX,S000074572,C000232571
0000003521,ALEZX,S000074572,C000232569
0000003521,ALGAX,S000009159,C000024900
0000003521,ALGCX,S000009159,C000024902
0000003521,ALMAX,S000009165,C000024918
0000003521,ALMCX,S000009165,C000024920
0000003521,ALOAX,S000063650,C000228969
0000003521,ALOCX,S000063650,C000228970
0000003521,ALOYX,S000063650,C000225967
0000003521,ALSAX,S000009160,C000024903
0000003521,ALSCX,S000009160,C000024904
0000003521,AMCGX,S000009162,C000024910
0000003521,AMCZX,S000009162,C000156504
0000003521,AMGAX,S000009162,C000024909
0000003521,AMGCX,S000009162,C000024911
0000003521,AOFAX,S000020958,C000059337
0000003521,AOFCX,S000020958,C000059339
0000003521,AOFIX,S000020958,C000059340
0000003521,AOFYX,S000020958,C000179520
0000003521,ASCYX,S000009160,C000232602
0000003521,ASCZX,S000009160,C000095958
0000003521,ASIMX,S000009165,C000051550
0000003521,ASMZX,S000009165,C000095960
0000003521,ASYMX,S000009165,C000193201
0000003521,ATVPX,S000061618,C000199574
0000003794,ABNAX,S000027378,C000082621
0000003794,ABNCX,S000027378,C000082622
0000003794,ABNKX,S000027378,C000085436
0000003794,ABNOX,S000027378,C000085359
0000003794,ABNRX,S000027378,C000085435
0000003794,ABNTX,S000027378,C000085438
0000003794,ABNYX,S000027378,C000082623
0000003794,ABNZX,S000027378,C000152483
0000003794,ABQBX,S000010305,C000028494
0000003794,ABQCX,S000010305,C000028495
0000003794,ABQIX,S000010305,C000028499
0000003794,ABQKX,S000010305,C000028498
0000003794,ABQRX,S000010305,C000028497
0000003794,ABQUX,S000010305,C000028493
0000003794,ABQYX,S000010305,C000028496
0000003794,ABQZX,S000010305,C000143890
0000003794,ACGYX,S000051302,C000161781
0000003794,ACGZX,S000051302,C000161785
0000003794,ACMTX,S000028085,C000085497
0000003794,AKGAX,S000051302,C000161779
0000003794,AKGCX,S000051302,C000161780
0000003794,ALHAX,S000034979,C000107583
0000003794,ALHCX,S000034979,C000107584
0000003794,ALHIX,S000034979,C000107585
0000003794,ALHKX,S000034979,C000107586
0000003794,ALHRX,S000034979,C000107587
0000003794,ALHYX,S000034979,C000107580
0000003794,AMTAX,S000028085,C000085496
0000003794,AMTIX,S000028085,C000085503
0000003794,AMTKX,S000028085,C000085502
0000003794,AMTOX,S000028085,C000085499
0000003794,AMTRX,S000028085,C000085501
0000003794,AMTTX,S000028085,C000085500
0000003794,AMTYX,S000028085,C000085498
0000003794,AMTZX,S000028085,C000139941
0000003794,ANBIX,S000027378,C000085437
0000003794,ATCCX,S000043269,C000133864
0000003794,ATTAX,S000043269,C000133863
0000003794,ATTYX,S000043269,C000133860
0000003794,AUNAX,S000027379,C000082624
0000003794,AUNCX,S000027379,C000082625
0000003794,AUNOX,S000027379,C000085360
0000003794,AUNTX,S000027379,C000085439
