CIK,Ticker,Name,Exchange
0000001750,AIR,Aar Corp,NYSE
0000001800,ABT,Abbott Laboratories,NYSE
0000001961,WDDD,Worlds Inc,OTC
0000002098,ACU,Acme United Corp,NYSE
0000002178,AE,"Adams Resources & Energy, Inc.",NYSE
0000002186,BKTI,Bk Technologies Corp,NYSE
0000002230,ADX,"Adams Diversified Equity Fund, Inc.",NYSE
0000002488,AMD,Advanced Micro Devices Inc,Nasdaq
0000002809,AEM,Agnico Eagle Mines Ltd,NYSE
0000002969,APD,Air Products & Chemicals Inc /De/,NYSE
0000003153,ALP-PQ,Alabama Power Co,NYSE
0000003197,CECE,Ceco Environmental Corp,Nasdaq
0000003453,MATX,"Matson, Inc.",NYSE
0000003499,ALX,Alexanders Inc,NYSE
0000003545,ALCO,"Alico, Inc.",Nasdaq
0000003570,LNG,"Cheniere Energy, Inc.",NYSE
0000004127,SWKS,"Skyworks Solutions, Inc.",Nasdaq
0000004281,HWM,Howmet Aerospace Inc.,NYSE
0000004281,HWM-P,Howmet Aerospace Inc.,NYSE
0000004447,HES,Hess Corp,NYSE
0000004457,UHAL,Amerco /Nv/,Nasdaq
0000004904,AEP,American Electric Power Co Inc,Nasdaq
0000004904,AEPPL,American Electric Power Co Inc,Nasdaq
0000004904,AEPPZ,American Electric Power Co Inc,Nasdaq
0000004962,AXP,American Express Co,NYSE
0000004977,AFL,Aflac Inc,NYSE
0000005094,VBF,Invesco Bond Fund,NYSE
0000005272,AIG,"American International Group, Inc.",NYSE
0000005272,AIG-PA,"American International Group, Inc.",NYSE
0000005513,UNM,Unum Group,NYSE
0000005513,UNMA,Unum Group,NYSE
0000005981,AVD,American Vanguard Corp,NYSE
0000006176,AP,Ampco Pittsburgh Corp,NYSE
0000006176,AP-WT,Ampco Pittsburgh Corp,NYSE
0000006201,AAL,American Airlines Group Inc.,Nasdaq
0000006207,AXR,Amrep Corp.,NYSE
0000006281,ADI,Analog Devices Inc,Nasdaq
0000006494,ANDR,Andrea Electronics Corp,OTC
0000006845,APOG,"Apogee Enterprises, Inc.",Nasdaq
0000006951,AMAT,Applied Materials Inc /De,Nasdaq
0000006955,EPAC,Enerpac Tool Group Corp,NYSE
0000007039,TREC,Trecora Resources,NYSE
0000007084,ADM,Archer-Daniels-Midland Co,NYSE
0000007323,EAI,"Entergy Arkansas, Llc",NYSE
0000007332,SWN,Southwestern Energy Co,NYSE
0000007431,AWI,Armstrong World Industries Inc,NYSE
0000007536,ARW,Arrow Electronics Inc,NYSE
0000007623,ARTW,Arts Way Manufacturing Co Inc,Nasdaq
0000007789,ASB,Associated Banc-Corp,NYSE
0000007789,ASB-PE,Associated Banc-Corp,NYSE
0000007789,ASB-PF,Associated Banc-Corp,NYSE
0000008063,ATRO,Astronics Corp,Nasdaq
0000008063,ATROB,Astronics Corp,OTC
0000008146,ALOT,"Astronova, Inc.",Nasdaq
0000008177,AAME,Atlantic American Corp,Nasdaq
0000008328,AMNL,"Applied Minerals, Inc.",OTC
0000008504,UAVS,Ageagle Aerial Systems Inc.,NYSE
0000008670,ADP,Automatic Data Processing Inc,Nasdaq
0000008818,AVY,Avery Dennison Corp,NYSE
0000008858,AVT,Avnet Inc,Nasdaq
0000008947,AZZ,Azz Inc,NYSE
0000009092,BMI,Badger Meter Inc,NYSE
0000009326,BCPC,Balchem Corp,Nasdaq
0000009389,BLL,Ball Corp,NYSE
0000009521,BCV,Bancroft Fund Ltd,NYSE
0000009521,BCV-PA,Bancroft Fund Ltd,NYSE
0000009631,BNS,Bank Of Nova Scotia,NYSE
0000009984,B,Barnes Group Inc,NYSE
0000010048,BRN,Barnwell Industries Inc,NYSE
0000010254,ESTE,Earthstone Energy Inc,NYSE
0000010329,BSET,Bassett Furniture Industries Inc,Nasdaq
0000010456,BAX,Baxter International Inc,NYSE
0000010795,BDX,Becton Dickinson & Co,NYSE
0000010795,BDXB,Becton Dickinson & Co,NYSE
0000011544,WRB,Berkley W R Corp,NYSE
0000011544,WRB-PE,Berkley W R Corp,NYSE
0000011544,WRB-PF,Berkley W R Corp,NYSE
0000011544,WRB-PG,Berkley W R Corp,NYSE
0000011544,WRB-PH,Berkley W R Corp,NYSE
0000012040,BDL,Flanigans Enterprises Inc,NYSE
0000012208,BIO,"Bio-Rad Laboratories, Inc.",NYSE
0000012208,BIO-B,"Bio-Rad Laboratories, Inc.",NYSE
0000012239,AIKI,Aikido Pharma Inc.,Nasdaq
0000012659,HRB,H&R Block Inc,NYSE
0000012927,BA,Boeing Co,NYSE
0000013156,GLXZ,"Galaxy Gaming, Inc.",OTC
0000013239,HXOH,Hexion Inc.,OTC
0000013372,NSARP,Nstar Electric Co,OTC
0000014177,BRID,Bridgford Foods Corp,Nasdaq
0000014272,BMY,Bristol Myers Squibb Co,NYSE
0000014272,BMYMP,Bristol Myers Squibb Co,
0000014272,CELG-RI,Bristol Myers Squibb Co,NYSE
0000014693,BF-A,Brown Forman Corp,NYSE
0000014693,BF-B,Brown Forman Corp,NYSE
0000014707,CAL,Caleres Inc,NYSE
0000014846,BRT,Brt Apartments Corp.,NYSE
0000014930,BC,Brunswick Corp,NYSE
0000014930,BC-PA,Brunswick Corp,NYSE
0000014930,BC-PB,Brunswick Corp,NYSE
0000014930,BC-PC,Brunswick Corp,NYSE
0000015615,MTZ,Mastec Inc,NYSE
0000015847,BUKS,Butler National Corp,OTC
